sr_no,name,image_url,gender
123,honey_singh,https://i.imgur.com/ipV523g.jpg,male
124,mika_singh,https://i.imgur.com/KhiKdxR.jpg,male
125,kapil_sharma,https://i.imgur.com/CljvlLy.jpg,male
126,krushna_abhishek,https://i.imgur.com/qEaG4lc.jpg,male
127,jassi_gill,https://i.imgur.com/ue5bmm8.jpg,male
128,rohit_shetty,https://i.imgur.com/p15JwS0.jpg,male
129,terence_lewis,https://i.imgur.com/9wsLOkT.jpg,male
130,karan_kundra,https://i.imgur.com/hHjgGoC.jpg,male
131,anu_malik,https://i.imgur.com/wZRLCnx.jpg,male
132,abhishek_verma,https://i.imgur.com/MJkjfjj.jpg,male
133,aly_goni,https://i.imgur.com/ONRpC6J.jpg,male
134,neeraj_chopra,https://i.imgur.com/9E87XFU.jpg,male
135,abhishek__malik,https://i.imgur.com/q2uGgRw.jpg,male
136,gaurav_wadhwa,https://i.imgur.com/StZT0Nw.png,male
137,neel_motwani,https://i.imgur.com/gGAJjmO.jpg,male
138,darshan_raval,https://i.imgur.com/rEz9P2B.jpg,male
139,sumedh_mudgalakr,https://i.imgur.com/BpJMuNd.jpg,male
140,tanmay_bhatt,https://i.imgur.com/OE7RJ0j.jpg,male
141,gurnaam_bhullar,https://i.imgur.com/r5ivfli.jpg,male
142,rahul_dravid,https://i.imgur.com/BBJaCUw.jpg,male
143,sikander_kher,https://i.imgur.com/ONSawbe.jpg,male
144,remo_d'souza,https://i.imgur.com/PVC7leL.jpg,male
145,dharmesh_yelande,https://i.imgur.com/bfI0VwC.jpg,male
146,raghav_juyal,https://i.imgur.com/WUgl0iC.jpg,male
147,ar_rahman,https://i.imgur.com/HhGgdTd.jpg,male
148,sunil_chetri,https://i.imgur.com/xkvaTxD.jpg,male
149,jaspreet_bhumra,https://i.imgur.com/P1IWMUG.jpg,male
150,zakhir_khan,https://i.imgur.com/oGCObEV.jpg,male
151,aadar_poonawala,https://i.imgur.com/KSSdCxB.jpg,male
152,gautam_adani,https://i.imgur.com/0Yq0FMX.jpg,male
153,manjot_singh,https://i.imgur.com/QSLSNxi.jpg,male
154,varun_sharma,https://i.imgur.com/WD1RoX8.jpg,male
155,pankaj_tripathi,https://i.imgur.com/Rn0xf2f.jpg,male
156,mukesh_ambani,https://i.imgur.com/Y2Fn6d5.jpg,male
157,manoj_bajpayee,https://i.imgur.com/uAzsI2e.jpg,male
158,jitendra_kumar,https://i.imgur.com/ZFudxxz.jpg,male
159,divyenndu,https://i.imgur.com/6mEICmx.jpg,male
160,diljit_dosangh,https://i.imgur.com/eNB1CBW.jpg,male
161,vikrant_massey,https://i.imgur.com/5ri9G0x.jpg,male
162,gagan_arora,https://i.imgur.com/AomaKc5.jpg,male
163,kl_rahul,https://i.imgur.com/gKa6vf0.jpg,male
164,rohan_preet_singh,https://i.imgur.com/VSXMu7U.jpg,male
165,harsh_gujral,https://i.imgur.com/t2kaVJt.jpg,male
166,badshah,https://i.imgur.com/4vPTPEb.jpg,male
167,sachin_tendulkar,https://i.imgur.com/F7PXsUn.jpg,male
168,arijit_singh,https://i.imgur.com/lxZG1oU.jpg,male
169,guru_randhawa,https://i.imgur.com/hTnIDtW.jpg,male
170,armaan_malik,https://i.imgur.com/c3zgYZa.jpg,male
171,manoj_tiwari,https://i.imgur.com/gmaAqjN.jpg,male
172,neel_nitin_mukesh,https://i.imgur.com/JBAEYMj.jpg,male
